"","Isolate","Meropenem","BioSample","Assembly"
"1","P0013","Resistant","SAMN50725556","GCA_052321735.1"
"2","P0014","Resistant","SAMN50725557","GCA_052321675.1"
"3","P0015","Resistant","SAMN50725558","GCA_052321635.1"
"4","P0016","Susceptible","SAMN50725559","GCA_052321615.1"
"5","P0017","I","SAMN50725560","GCA_052321555.1"
"6","P0018","Resistant","SAMN50725561","GCA_052321495.1"
"7","P0019","Resistant","SAMN50725562","GCA_052321505.1"
"8","P0020","Resistant","SAMN50725563","GCA_052321455.1"
"9","P0021","Resistant","SAMN50725564","GCA_052321405.1"
"10","P0022","Resistant","SAMN50725565","GCA_052321395.1"
"11","P0023","Resistant","SAMN50725566","GCA_052321335.1"
"12","P0025","Susceptible","SAMN50725567","GCA_052321255.1"
"13","P0026","Susceptible","SAMN50725568","GCA_052321275.1"
"14","P0028","Susceptible","SAMN50725569","GCA_052321215.1"
"15","P0029","Resistant","SAMN50725570","GCA_052321175.1"
"16","P0030","Resistant","SAMN50725571","GCA_052321095.1"
"17","P0031","Resistant","SAMN50725572","GCA_052321105.1"
"18","P0032","Resistant","SAMN50725573","GCA_052321055.1"
"19","P0033","Resistant","SAMN50725574","GCA_052320975.1"
"20","P0034","Resistant","SAMN50725575","GCA_052320985.1"
"21","P0035","Resistant","SAMN50725576","GCA_052320875.1"
"22","P0036","Resistant","SAMN50725577","GCA_052320935.1"
"23","P0037","Resistant","SAMN50725578","GCA_052320895.1"
"24","P0038","Resistant","SAMN50725579","GCA_052320795.1"
"25","P0039","Susceptible","SAMN50725580","GCA_052320755.1"
"26","P0040","Susceptible","SAMN50725581","GCA_052320775.1"
"27","P0041","Resistant","SAMN50725582","GCA_052320675.1"
"28","P0042","Resistant","SAMN50725583","GCA_052320655.1"
"29","P0044","Resistant","SAMN50725584","GCA_052320635.1"
"30","P0045","Susceptible","SAMN50725585","GCA_052320555.1"
"31","P0046","Resistant","SAMN50725586","GCA_052320535.1"
"32","P0047","Susceptible","SAMN50725587","GCA_052320475.1"
"33","P0048","Resistant","SAMN50725588","GCA_052320495.1"
"34","P0049","Resistant","SAMN50725589","GCA_052320415.1"
"35","P0050","Resistant","SAMN50725590","GCA_052320355.1"
"36","P0051","Resistant","SAMN50725591","GCA_052320375.1"
"37","P0052","Resistant","SAMN50725592","GCA_052320295.1"
"38","P0054","Resistant","SAMN50725593","GCA_052320265.1"
"39","P0055","Resistant","SAMN50725594","GCA_052320235.1"
"40","P0056","Resistant","SAMN50725595","GCA_052320175.1"
"41","P0057","Susceptible","SAMN50725596","GCA_052320155.1"
"42","P0058","Resistant","SAMN50725597","GCA_052320095.1"
"43","P0059","Resistant","SAMN50725598","GCA_052320075.1"
"44","P0060","Resistant","SAMN50725599","GCA_052320035.1"
"45","P0061","Resistant","SAMN50725600","GCA_052320015.1"
"46","P0062","Resistant","SAMN50725601","GCA_052319975.1"
"47","P0063","Resistant","SAMN50725602","GCA_052319915.1"
"48","P0064","Susceptible","SAMN50725603","GCA_052319895.1"
"49","P0065","Susceptible","SAMN50725604","GCA_052319875.1"
"50","P0066","Susceptible","SAMN50725605","GCA_052319855.1"
"51","P0067","Resistant","SAMN50725606","GCA_052319815.1"
"52","P0068","Resistant","SAMN50725607","GCA_052319835.1"
"53","P0069","Resistant","SAMN50725608","GCA_052319795.1"
"54","P0070","Resistant","SAMN50725609","GCA_052319775.1"
"55","P0071","Susceptible","SAMN50725610","GCA_052319755.1"
"56","P0072","Susceptible","SAMN50725611","GCA_052319735.1"
"57","P0073","Susceptible","SAMN50725612","GCA_052319715.1"
"58","P0074","Susceptible","SAMN50725613","GCA_052319695.1"
"59","P0075","Resistant","SAMN50725614","GCA_052319675.1"
"60","P0076","Susceptible","SAMN50725615","GCA_052319655.1"
"61","P0077","Resistant","SAMN50725616","GCA_052319635.1"
"62","P0078","Susceptible","SAMN50725617","GCA_052319615.1"
"63","P0079","Resistant","SAMN50725618","GCA_052319595.1"
"64","P0080","Resistant","SAMN50725619","GCA_052319575.1"
"65","P0081","Susceptible","SAMN50725620","GCA_052319535.1"
"66","P0082","Resistant","SAMN50725621","GCA_052319555.1"
"67","P0084","Resistant","SAMN50725622","GCA_052319515.1"
"68","P0085","Resistant","SAMN50725623","GCA_052319495.1"
"69","P0086","Resistant","SAMN50725624","GCA_052319475.1"
"70","P0087","Resistant","SAMN50725625","GCA_052319455.1"
"71","P0088","Resistant","SAMN50725626","GCA_052319435.1"
"72","P0089","Resistant","SAMN50725627","GCA_052319415.1"
"73","P0090","Susceptible","SAMN50725628","GCA_052319395.1"
"74","P0091","Susceptible","SAMN50725629","GCA_052319375.1"
"75","P0092","Resistant","SAMN50725630","GCA_052319355.1"
"76","P0094","Resistant","SAMN50725631","GCA_052319335.1"
"77","P0095","Resistant","SAMN50725632","GCA_052319315.1"
"78","P0096","Susceptible","SAMN50725633","GCA_052319275.1"
"79","P0097","Susceptible","SAMN50725634","GCA_052319295.1"
"80","P0098","Resistant","SAMN50725635","GCA_052319255.1"
"81","P0099","Susceptible","SAMN50725636","GCA_052319215.1"
"82","P0100","Resistant","SAMN50725637","GCA_052319235.1"
"83","P0103","Resistant","SAMN50725638","GCA_052319195.1"
"84","P0104","Resistant","SAMN50725639","GCA_052319175.1"
"85","P0105","Resistant","SAMN50725640","GCA_052319155.1"
"86","P0106","Susceptible","SAMN50725641","GCA_052319135.1"
"87","P0107","Resistant","SAMN50725642","GCA_052319115.1"
"88","P0108","Susceptible","SAMN50725643","GCA_052319095.1"
"89","P0109","Resistant","SAMN50725644","GCA_052319075.1"
"90","P0110","Susceptible","SAMN50725645","GCA_052319055.1"
"91","P0111","Resistant","SAMN50725646","GCA_052319035.1"
"92","P0112","I","SAMN50725647","GCA_052319015.1"
"93","P0113","Susceptible","SAMN50725648","GCA_052318995.1"
"94","P0114","Resistant","SAMN50725649","GCA_052318975.1"
"95","P0116","Resistant","SAMN50725650","GCA_052318955.1"
"96","P0117","Resistant","SAMN50725651","GCA_052318915.1"
"97","P0118","Susceptible","SAMN50725652","GCA_052318895.1"
"98","P0119","Resistant","SAMN50725653","GCA_052318875.1"
"99","P0120","Resistant","SAMN50725654","GCA_052318835.1"
"100","P0121","Resistant","SAMN50725655","GCA_052318855.1"
"101","P0122","Susceptible","SAMN50725656","GCA_052318815.1"
"102","P0123","Resistant","SAMN50725657","GCA_052318795.1"
"103","P0124","Resistant","SAMN50725658","GCA_052318775.1"
"104","P0125","Resistant","SAMN50725659","GCA_052318755.1"
"105","P0128","Resistant","SAMN50725660","GCA_052318725.1"
"106","P0129","Susceptible","SAMN50725661","GCA_052318715.1"
"107","P0130","Susceptible","SAMN50725662","GCA_052318695.1"
